rpm,phi,rgf,p_ivc_bar,misfire,error,theta_IGN,theta_25,theta_50,theta_75,theta_90,C_eff,T_peak_K,P_TDC_bar,phi_prime,gamma_ivc,IMEP_bar
2396.726455135694,0.4658444366393755,0.5994890522779184,1.522759146148028,False,,-14.483954867942606,-6.164521774516795,-2.805226778324631,0.4950594100066639,3.1330747522478037,0.999739660687086,1359.46918458204,47.564809908645124,0.1865757968094955,1.3628339421296565,2.829169806253247
3050.6831255594443,0.7306271897958128,0.5593452177809515,2.1461209540887487,False,,-35.48099327146409,-7.262246160201897,-3.644862085533167,-0.9283096944918956,0.8023211554938838,0.9999999999997361,1919.7424055221393,65.0325500566753,0.3219543652027893,1.350406757276359,8.39725334286557
2901.3393159557318,0.4559793773690887,0.534281976234614,1.1407626999510558,False,,-13.211496932740324,-3.902628820363252,0.4325907880296498,5.3839920142760205,10.136924559463452,0.9796120683682427,1157.70145748098,35.642119804745256,0.21235781450610317,1.3626102042461405,1.0841188417778964
3143.4177998765726,0.5824683503418969,0.3410191252145237,2.4677360423847388,False,,-14.926073050727176,-6.883459256315319,-4.504221672171807,-2.896901150204136,-1.9738402822626018,0.9999999999408843,2143.005421362846,75.48657373344045,0.3838355030431565,1.3541375058985243,11.747509623953132
1006.5075975848639,0.23531978214975519,0.3361179739413933,1.074438617257596,False,,-18.77748800747773,-11.883285803669532,-9.491201931889552,-7.405738638696278,-5.864189421954775,0.9999999997535938,1584.8037348797143,34.42565247473522,0.15622457374524942,1.3725385531619034,2.142504845575306
3858.6413682191746,0.36255707977324236,0.4144571192907881,1.3630547092869127,False,,-13.31911344467084,-4.159524522991591,-0.10037801113247358,4.314032421406399,8.319557114347857,0.9906318540192528,1221.2335090202746,42.962658361029426,0.21229271691194387,1.3661633005396336,1.7030749842882669
1259.2692043135685,0.4301408678696952,0.4483308627126589,1.6357012812181093,False,,-18.10803478908063,-11.082884436010255,-8.908118135494979,-7.232061009813712,-6.136269971499338,1.0,1793.1158085467691,51.14154598191927,0.23729544148970294,1.3630047515607049,4.867375051052809
3067.567149009515,0.5920197872338282,0.21022325592799931,2.289945488554838,False,,-14.985447373396577,-6.820952036094561,-4.564657465750098,-3.182293683487389,-2.4393010183378716,1.0,2349.3298136182343,69.65752851041786,0.46756345998773147,1.3519371197286207,13.173308059583007
2739.0281006164787,0.44037595785343986,0.3565838016953791,1.3930600244709148,False,,-14.25571512835755,-5.788886666021417,-2.595550680174075,0.1977269661090664,2.131814608033278,1.0,1876.3968492831739,43.410803547407845,0.28334502462681627,1.3615592095264386,4.987022749756643
1956.427330355171,0.7594705129812462,0.5561988680097869,1.4322610710085462,False,,-43.26198131264193,-8.561824354462642,-4.675781391206122,-1.7154059590721145,0.16246082641556078,0.9999999999930876,1954.6290667880555,43.232829848944526,0.3370538733742649,1.3491126991945024,5.806003004393192
2244.548570269794,0.2510159145583742,0.3292245308601119,1.9308653801175117,False,,-17.43424905518324,-10.142842980663968,-7.677404049561014,-5.550650372345069,-3.9971105015034083,1.0,1602.2913908417627,61.70954905665699,0.16837531784947152,1.371610421092848,4.231784660673023
1640.8698239585256,0.4360761827537391,0.52994054405341,1.7611357000404282,False,,-16.919921335782803,-9.658696058437172,-7.218819414849473,-5.193878264627354,-3.7879574885841025,0.9999999999408526,1688.2815549850816,55.154129540497934,0.20498173321648838,1.3635276590615957,4.5735284861116305
1324.8535707479455,0.7624773688148889,0.24041665019255132,1.4143608546647224,True,,,,,,,,,,,,
